H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.00,0.289,0.000,0.0005,0.8,0.000,0.000,0.000,0.289,0.000,0.000,0.000,0.289,28917.998,0.035,0.0017,0.000,0.000,0.000,7,0.00,0.00,17.50
0.02,1.590,0.000,0.0234,0.6,0.180,0.000,0.000,1.594,0.000,0.000,0.000,1.594,4306.957,0.006,0.0147,0.000,0.000,0.000,7,0.02,0.02,18.50
0.04,1.877,0.000,0.0278,0.6,0.180,0.000,0.000,1.881,0.000,0.001,0.001,1.880,2541.092,0.005,0.0148,0.000,0.000,0.000,7,0.04,0.04,18.50
0.06,2.033,0.000,0.0456,0.7,0.180,0.000,0.000,2.040,0.000,0.001,0.001,2.039,1836.834,0.005,0.0224,0.000,0.000,0.000,7,0.06,0.06,18.50
0.08,2.277,0.000,-0.0087,0.5,0.260,0.000,0.000,2.276,0.000,0.001,0.001,2.274,1536.505,0.004,-0.0038,0.000,0.000,0.000,7,0.08,0.08,18.50
0.10,2.817,0.000,-0.0265,0.8,0.340,0.000,0.000,2.813,0.000,0.002,0.002,2.811,1519.573,0.004,-0.0094,0.000,0.000,0.005,7,0.10,0.10,18.50
0.12,3.270,0.000,-0.0265,0.8,0.340,0.000,0.000,3.266,0.000,0.002,0.002,3.264,1463.646,0.003,-0.0081,0.000,0.000,0.004,7,0.12,0.12,19.00
0.14,3.018,0.001,-0.0381,0.9,0.270,0.000,0.000,3.012,0.001,0.003,0.003,3.010,1157.540,0.030,-0.0127,0.000,0.000,0.039,7,0.14,0.14,18.50
0.16,2.410,0.019,-0.0265,0.8,0.080,0.008,0.000,2.406,0.019,0.003,0.003,2.403,809.020,0.770,-0.0110,0.008,0.000,0.825,7,0.16,0.16,18.50
0.18,2.238,0.033,-0.0212,0.8,0.200,0.015,0.000,2.235,0.033,0.003,0.003,2.231,670.083,1.479,-0.0095,0.015,0.000,1.520,7,0.18,0.18,18.00
