H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.00,0.000,0.000,0.0000,0.0,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.0000,0.000,0.000,0.000,4,0.00,0.00,0.00
0.02,0.389,0.000,0.0061,3.3,0.320,0.001,0.000,0.390,0.000,0.000,0.000,0.389,1081.433,0.103,0.0157,0.001,0.000,0.000,5,0.02,0.02,18.00
0.04,0.711,0.002,0.0065,3.2,0.310,0.003,0.000,0.712,0.002,0.001,0.001,0.712,988.500,0.295,0.0091,0.003,0.000,0.000,5,0.04,0.04,18.00
0.06,0.809,0.002,0.0065,3.2,0.300,0.003,0.000,0.810,0.002,0.001,0.001,0.809,749.222,0.260,0.0080,0.003,0.000,0.000,5,0.06,0.06,18.00
0.08,0.789,0.005,0.0013,3.2,0.300,0.007,0.000,0.789,0.005,0.001,0.001,0.788,546.992,0.686,0.0017,0.007,0.000,0.000,5,0.08,0.08,18.00
0.10,0.789,0.014,0.0005,3.2,0.300,0.018,0.000,0.789,0.014,0.002,0.002,0.787,437.322,1.817,0.0006,0.018,0.000,2.173,5,0.10,0.10,18.00
0.12,0.745,0.028,-0.0040,3.2,0.300,0.037,0.000,0.744,0.028,0.002,0.002,0.742,343.565,3.719,-0.0054,0.037,0.000,3.786,5,0.12,0.12,18.00
0.14,0.741,0.040,-0.0120,3.1,0.300,0.053,0.000,0.739,0.040,0.003,0.003,0.737,292.405,5.361,-0.0163,0.053,0.000,5.038,5,0.14,0.14,18.00
0.16,0.742,0.040,-0.0120,3.2,0.300,0.053,0.000,0.740,0.040,0.003,0.003,0.737,256.042,5.357,-0.0163,0.053,0.000,4.504,5,0.16,0.16,18.00
0.18,0.741,0.049,-0.0215,3.2,0.300,0.066,0.000,0.738,0.049,0.003,0.003,0.735,226.735,6.602,-0.0293,0.065,0.000,4.505,5,0.18,0.18,18.00
