H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
5.62,5.457,0.069,-0.0067,5.4,0.270,0.013,0.000,5.455,0.069,0.101,0.101,5.355,53.100,1.296,-0.0013,0.013,0.000,0.992,8,5.62,5.61,18.50
5.64,10.978,0.054,0.0156,5.7,0.070,0.005,0.000,10.981,0.054,0.101,0.101,10.879,107.473,0.497,0.0014,0.005,0.000,0.736,8,5.64,5.63,19.50
5.66,10.298,0.044,-0.0113,5.8,0.130,0.004,0.000,10.296,0.044,0.102,0.102,10.194,100.318,0.431,-0.0011,0.004,0.000,0.591,8,5.66,5.65,19.50
5.68,8.242,0.053,-0.0193,6.1,0.170,0.006,0.000,8.239,0.053,0.102,0.102,8.137,79.775,0.651,-0.0024,0.006,0.000,0.744,8,5.68,5.67,19.00
5.70,7.699,0.045,-0.0232,6.2,0.240,0.006,0.000,7.695,0.045,0.102,0.102,7.593,74.164,0.595,-0.0031,0.006,0.000,0.660,8,5.70,5.69,19.00
5.72,6.357,0.014,-0.0243,6.2,0.340,0.002,0.000,6.354,0.014,0.103,0.103,6.251,60.829,0.221,-0.0039,0.002,0.000,0.208,8,5.72,5.71,19.00
5.74,5.774,0.014,-0.0243,6.0,0.370,0.002,0.000,5.770,0.014,0.103,0.103,5.667,54.943,0.244,-0.0043,0.002,0.000,0.214,8,5.74,5.73,19.00
5.76,5.774,0.001,-0.0006,6.0,0.410,0.000,0.000,5.774,0.001,0.104,0.104,5.670,54.774,0.019,-0.0001,0.000,0.000,0.020,8,5.76,5.75,19.00
5.78,4.200,0.000,0.0103,5.8,0.080,0.000,0.000,4.201,0.000,0.104,0.104,4.097,39.435,0.000,0.0025,0.000,0.000,0.000,8,5.78,5.77,19.00
5.80,4.162,0.000,0.0102,5.9,0.210,0.000,0.000,4.164,0.000,0.104,0.104,4.060,38.932,0.000,0.0025,0.000,0.000,0.000,8,5.80,5.79,19.00
5.82,3.870,0.000,0.0099,5.8,0.220,0.000,0.000,3.871,0.000,0.105,0.105,3.767,35.990,0.000,0.0026,0.000,0.000,0.000,8,5.82,5.81,19.00
5.84,3.623,0.000,0.0053,5.5,0.230,0.000,0.000,3.624,0.000,0.105,0.105,3.519,33.500,0.000,0.0015,0.000,0.000,0.000,8,5.84,5.83,19.00
5.86,1.445,0.000,-0.0034,5.7,0.280,0.000,0.000,1.444,0.000,0.105,0.105,1.339,12.703,0.000,-0.0025,0.000,0.000,0.000,8,5.86,5.85,18.00
5.88,0.731,0.046,-0.0174,6.0,0.240,0.064,0.000,0.728,0.046,0.106,0.106,0.622,5.884,7.457,-0.0280,0.063,0.000,0.000,8,5.88,5.87,17.50
5.90,3.082,0.062,0.0221,6.0,0.240,0.020,0.000,3.085,0.062,0.106,0.106,2.979,28.076,2.088,0.0074,0.020,0.000,0.000,8,5.90,5.89,18.00
