H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
1.00,4.157,0.214,-0.0272,2.2,0.230,0.051,0.000,4.153,0.214,0.018,0.018,4.135,231.003,5.166,-0.0066,0.051,0.000,5.559,3,1.00,1.00,17.50
1.02,4.004,0.212,-0.0324,2.2,0.260,0.053,0.000,3.999,0.212,0.018,0.018,3.980,218.102,5.324,-0.0081,0.053,0.000,5.448,3,1.02,1.02,17.50
1.04,3.817,0.208,-0.0322,2.2,0.270,0.055,0.000,3.812,0.208,0.019,0.019,3.793,203.933,5.497,-0.0085,0.055,0.000,5.320,3,1.04,1.04,17.50
1.06,3.713,0.211,-0.0309,2.2,0.270,0.057,0.000,3.708,0.211,0.019,0.019,3.689,194.670,5.714,-0.0084,0.057,0.000,5.374,3,1.06,1.06,17.50
1.08,3.995,0.196,-0.0272,2.1,0.210,0.049,0.000,3.991,0.196,0.019,0.019,3.971,205.769,4.930,-0.0068,0.049,0.000,5.009,3,1.08,1.08,17.50
1.10,3.981,0.189,-0.0296,2.2,0.200,0.048,0.000,3.976,0.189,0.020,0.020,3.957,201.246,4.782,-0.0075,0.048,0.000,4.881,3,1.10,1.10,18.00
1.12,3.979,0.188,-0.0252,2.2,0.170,0.047,0.000,3.975,0.188,0.020,0.020,3.955,197.555,4.743,-0.0064,0.047,0.000,4.895,3,1.12,1.12,18.00
1.14,3.880,0.189,-0.0195,2.2,0.150,0.049,0.000,3.877,0.189,0.020,0.020,3.857,189.343,4.908,-0.0051,0.049,0.000,4.955,3,1.14,1.14,17.50
1.16,3.762,0.189,-0.0178,2.2,0.150,0.050,0.000,3.759,0.189,0.021,0.021,3.739,180.441,5.050,-0.0048,0.050,0.000,4.914,3,1.16,1.16,17.50
1.18,3.708,0.187,-0.0151,2.2,0.140,0.050,0.000,3.705,0.187,0.021,0.021,3.684,174.851,5.079,-0.0041,0.050,0.000,4.797,3,1.18,1.18,17.50
1.20,3.641,0.193,-0.0080,2.2,0.170,0.053,0.000,3.639,0.193,0.021,0.021,3.618,168.903,5.326,-0.0022,0.053,0.000,4.872,3,1.20,1.20,17.50
1.22,3.678,0.203,-0.0019,2.2,0.170,0.055,0.000,3.677,0.203,0.022,0.022,3.656,167.916,5.559,-0.0005,0.055,0.000,5.066,3,1.22,1.22,17.50
1.24,3.872,0.206,0.0088,2.2,0.140,0.053,0.000,3.873,0.206,0.022,0.022,3.851,174.091,5.349,0.0023,0.053,0.000,5.064,3,1.24,1.24,17.50
1.26,4.055,0.204,0.0144,2.2,0.130,0.050,0.000,4.057,0.204,0.022,0.022,4.035,179.561,5.064,0.0036,0.050,0.000,4.931,3,1.26,1.26,17.50
1.28,4.355,0.211,0.0297,2.1,0.160,0.048,0.000,4.359,0.211,0.023,0.023,4.337,189.948,4.870,0.0068,0.049,0.000,5.014,3,1.28,1.28,18.00
1.30,4.594,0.212,0.0581,2.1,0.150,0.046,0.000,4.604,0.212,0.023,0.023,4.581,197.521,4.635,0.0127,0.046,0.000,4.961,3,1.30,1.30,18.00
1.32,4.600,0.213,0.0423,2.1,0.120,0.046,0.000,4.606,0.213,0.024,0.024,4.583,194.604,4.652,0.0092,0.046,0.000,4.911,3,1.32,1.32,18.00
1.34,4.603,0.236,0.0469,2.1,0.120,0.051,0.000,4.611,0.236,0.024,0.024,4.587,191.916,5.141,0.0102,0.051,0.000,5.358,3,1.34,1.34,17.50
1.36,4.709,0.251,0.0411,2.1,0.190,0.053,0.000,4.716,0.251,0.024,0.024,4.691,193.457,5.355,0.0088,0.053,0.000,5.661,3,1.36,1.36,17.50
1.38,4.524,0.246,0.0363,2.1,0.190,0.054,0.000,4.530,0.246,0.025,0.025,4.505,183.134,5.460,0.0081,0.054,0.000,5.522,3,1.38,1.38,17.50
1.40,4.446,0.241,0.0262,2.1,0.170,0.054,0.000,4.450,0.241,0.025,0.025,4.426,177.376,5.450,0.0059,0.054,0.000,5.431,3,1.40,1.40,17.50
1.42,4.319,0.242,0.0241,2.1,0.170,0.056,0.000,4.323,0.242,0.025,0.025,4.298,169.880,5.635,0.0056,0.056,0.000,5.512,3,1.42,1.42,17.50
1.44,4.337,0.270,0.0337,2.1,0.220,0.062,0.000,4.342,0.270,0.026,0.026,4.317,168.294,6.255,0.0078,0.062,0.000,6.227,3,1.44,1.44,17.50
1.46,4.268,0.268,0.0426,2.1,0.210,0.063,0.000,4.275,0.268,0.026,0.026,4.249,163.424,6.317,0.0100,0.063,0.000,6.284,3,1.46,1.46,17.50
1.48,4.247,0.267,0.0397,2.1,0.200,0.063,0.000,4.253,0.267,0.026,0.026,4.227,160.421,6.309,0.0094,0.063,0.000,6.354,3,1.48,1.48,17.50
1.50,4.207,0.269,0.0324,2.1,0.210,0.064,0.000,4.212,0.269,0.027,0.027,4.185,156.741,6.423,0.0077,0.064,0.000,6.477,3,1.50,1.50,17.50
1.52,4.076,0.272,0.0346,2.1,0.230,0.067,0.000,4.082,0.272,0.027,0.027,4.055,149.892,6.718,0.0085,0.067,0.000,6.627,3,1.52,1.52,17.50
1.54,3.961,0.271,0.0152,2.1,0.240,0.068,0.000,3.964,0.271,0.027,0.027,3.937,143.669,6.879,0.0039,0.068,0.000,6.636,3,1.54,1.54,17.50
1.56,3.891,0.262,0.0124,2.1,0.230,0.067,0.000,3.893,0.262,0.028,0.028,3.865,139.288,6.791,0.0032,0.067,0.000,6.453,3,1.56,1.56,17.50
1.58,3.895,0.255,0.0299,2.1,0.220,0.065,0.000,3.899,0.255,0.028,0.028,3.871,137.764,6.597,0.0077,0.066,0.000,6.278,3,1.58,1.58,17.50
1.60,4.000,0.240,0.1391,2.1,0.190,0.060,0.000,4.023,0.240,0.028,0.028,3.994,140.390,5.996,0.0348,0.060,0.000,5.800,3,1.60,1.60,17.50
1.62,4.016,0.234,0.1520,2.1,0.180,0.058,0.000,4.040,0.234,0.029,0.029,4.012,139.292,5.843,0.0379,0.058,0.000,5.569,3,1.62,1.62,17.50
1.64,3.993,0.223,0.2445,2.1,0.120,0.055,0.000,4.032,0.223,0.029,0.029,4.003,137.330,5.578,0.0611,0.056,0.000,5.168,3,1.64,1.64,17.50
1.66,4.191,0.207,0.1504,2.1,0.090,0.049,0.000,4.215,0.207,0.030,0.030,4.185,141.825,4.948,0.0359,0.049,0.000,4.628,5,1.66,1.66,18.00
1.68,4.273,0.221,0.1672,2.1,0.110,0.051,0.000,4.300,0.221,0.030,0.030,4.270,143.014,5.168,0.0392,0.052,0.000,4.738,5,1.68,1.68,17.50
1.70,4.917,0.213,0.3859,2.1,0.000,0.043,0.000,4.979,0.213,0.030,0.030,4.949,163.750,4.298,0.0780,0.043,0.000,4.363,5,1.70,1.70,18.00
1.72,5.088,0.216,0.2213,2.1,0.150,0.042,0.000,5.123,0.216,0.031,0.031,5.093,166.541,4.249,0.0435,0.043,0.000,4.266,5,1.72,1.72,18.00
1.74,5.307,0.223,0.2335,2.1,0.150,0.042,0.000,5.344,0.223,0.031,0.031,5.313,171.720,4.193,0.0439,0.042,0.000,4.233,5,1.74,1.74,18.00
1.76,5.654,0.251,0.0243,2.1,0.220,0.044,0.000,5.658,0.251,0.031,0.031,5.627,179.763,4.466,0.0043,0.044,0.000,4.601,5,1.76,1.76,18.00
1.78,5.901,0.277,0.0614,2.1,0.300,0.047,0.000,5.911,0.277,0.032,0.032,5.879,185.690,4.705,0.0104,0.047,0.000,4.899,5,1.78,1.78,18.00
1.80,6.280,0.277,0.0614,2.1,0.330,0.044,0.000,6.290,0.277,0.032,0.032,6.258,195.428,4.420,0.0098,0.044,0.000,4.751,5,1.80,1.80,18.00
1.82,6.185,0.278,0.0547,2.0,0.260,0.045,0.000,6.193,0.278,0.032,0.032,6.161,190.271,4.504,0.0089,0.045,0.000,4.665,11,1.82,1.82,18.00
1.84,6.103,0.282,0.1120,2.1,0.260,0.046,0.000,6.121,0.282,0.033,0.033,6.089,185.971,4.623,0.0184,0.046,0.000,4.647,11,1.84,1.84,18.00
1.86,6.188,0.285,0.0714,2.1,0.250,0.046,0.000,6.200,0.285,0.033,0.033,6.167,186.300,4.625,0.0116,0.046,0.000,4.644,11,1.86,1.86,18.00
1.88,6.207,0.308,0.0656,2.1,0.280,0.050,0.000,6.218,0.308,0.034,0.034,6.184,184.556,4.977,0.0106,0.050,0.000,4.947,11,1.88,1.88,20.50
1.90,6.207,0.322,0.3986,2.1,0.290,0.051,0.000,6.271,0.322,0.034,0.034,6.237,183.884,5.156,0.0639,0.052,0.000,5.105,11,1.90,1.90,20.50
1.92,6.319,0.321,0.3945,2.1,0.290,0.050,0.000,6.382,0.321,0.034,0.034,6.347,184.893,5.052,0.0622,0.051,0.000,5.041,11,1.92,1.92,20.50
1.94,6.287,0.322,0.1344,2.1,0.260,0.051,0.000,6.308,0.322,0.035,0.035,6.274,180.589,5.137,0.0214,0.051,0.000,4.977,11,1.94,1.94,20.50
1.96,6.225,0.321,0.4025,2.1,0.260,0.051,0.000,6.290,0.321,0.035,0.035,6.254,177.936,5.134,0.0644,0.052,0.000,4.861,11,1.96,1.96,20.50
1.98,6.539,0.315,0.5662,2.2,0.260,0.048,0.000,6.630,0.315,0.036,0.036,6.594,185.434,4.780,0.0859,0.048,0.000,4.727,11,1.98,1.98,20.50
2.00,6.752,0.310,0.2099,2.3,0.260,0.046,0.000,6.786,0.310,0.036,0.036,6.750,187.654,4.591,0.0311,0.046,0.000,4.601,5,2.00,2.00,20.50
2.02,6.967,0.311,0.3889,2.3,0.260,0.044,0.000,7.030,0.311,0.036,0.036,6.993,192.493,4.444,0.0556,0.045,0.000,4.602,5,2.02,2.02,18.00
2.04,7.438,0.308,0.5569,2.3,0.260,0.041,0.000,7.527,0.308,0.037,0.037,7.491,204.157,4.111,0.0743,0.041,0.000,4.563,5,2.04,2.04,18.00
2.06,7.526,0.303,0.1667,2.3,0.260,0.040,0.000,7.553,0.303,0.037,0.037,7.516,202.859,4.037,0.0222,0.040,0.000,4.481,5,2.06,2.06,18.00
2.08,6.876,0.306,0.2101,2.3,0.260,0.044,0.000,6.909,0.306,0.037,0.037,6.872,183.692,4.456,0.0306,0.045,0.000,4.471,5,2.08,2.08,18.00
2.10,6.953,0.306,0.2101,2.2,0.260,0.044,0.000,6.987,0.306,0.038,0.038,6.949,183.986,4.406,0.0302,0.044,0.000,4.422,5,2.10,2.10,18.00
2.12,6.409,0.307,0.1547,2.3,0.250,0.048,0.000,6.433,0.307,0.038,0.038,6.395,167.498,4.801,0.0242,0.048,0.000,4.370,5,2.12,2.12,20.50
2.14,6.260,0.296,0.2941,2.3,0.250,0.047,0.000,6.307,0.296,0.039,0.039,6.269,162.448,4.714,0.0469,0.047,0.000,4.151,5,2.14,2.14,20.50
2.16,6.527,0.293,0.3198,2.2,0.240,0.045,0.000,6.578,0.293,0.039,0.039,6.539,167.877,4.479,0.0489,0.045,0.000,4.088,5,2.16,2.16,18.00
2.18,7.085,0.281,0.2810,2.2,0.250,0.039,0.000,7.130,0.281,0.039,0.039,7.091,180.390,3.968,0.0396,0.040,0.000,3.913,5,2.18,2.18,18.00
2.20,7.376,0.267,0.3163,2.2,0.250,0.036,0.000,7.427,0.267,0.040,0.040,7.387,186.220,3.612,0.0428,0.036,0.000,3.658,5,2.20,2.20,18.00
2.22,7.866,0.272,0.0931,2.2,0.250,0.035,0.000,7.881,0.272,0.040,0.040,7.841,195.887,3.471,0.0119,0.035,0.000,3.713,5,2.22,2.22,18.00
2.24,7.988,0.284,0.0425,2.2,0.250,0.036,0.000,7.995,0.284,0.040,0.040,7.955,196.945,3.575,0.0053,0.036,0.000,3.854,5,2.24,2.24,18.00
2.26,7.937,0.294,0.0488,2.2,0.250,0.037,0.000,7.945,0.294,0.041,0.041,7.904,193.967,3.725,0.0062,0.037,0.000,3.986,5,2.26,2.26,18.00
2.28,7.828,0.307,0.0104,2.2,0.250,0.039,0.000,7.829,0.307,0.041,0.041,7.788,189.449,3.941,0.0013,0.039,0.000,4.192,5,2.28,2.28,18.00
2.30,8.008,0.329,0.0073,2.2,0.250,0.041,0.000,8.009,0.329,0.041,0.041,7.967,192.122,4.123,0.0009,0.041,0.000,4.599,5,2.30,2.30,18.00
2.32,7.353,0.350,-0.0338,2.2,0.250,0.048,0.000,7.348,0.350,0.042,0.042,7.306,174.456,4.797,-0.0046,0.048,0.000,5.086,5,2.32,2.32,20.50
2.34,6.939,0.357,-0.0213,2.2,0.250,0.052,0.000,6.936,0.357,0.042,0.042,6.894,163.005,5.186,-0.0031,0.052,0.000,5.448,5,2.34,2.34,20.50
2.36,6.329,0.354,0.0120,2.2,0.260,0.056,0.000,6.331,0.354,0.043,0.043,6.288,147.270,5.636,0.0019,0.056,0.000,5.730,3,2.36,2.36,20.50
2.38,5.830,0.349,-0.0094,2.2,0.250,0.060,0.000,5.829,0.349,0.043,0.043,5.786,134.207,6.030,-0.0016,0.060,0.000,6.030,3,2.38,2.38,20.50
2.40,5.111,0.329,-0.0089,2.2,0.250,0.064,0.000,5.110,0.329,0.043,0.043,5.066,116.570,6.498,-0.0018,0.064,0.000,6.120,3,2.40,2.40,17.50
2.42,4.615,0.316,-0.0122,2.2,0.250,0.068,0.000,4.614,0.316,0.044,0.044,4.570,104.308,6.913,-0.0027,0.068,0.000,6.388,3,2.42,2.42,17.50
2.44,4.245,0.292,0.0058,2.2,0.250,0.069,0.000,4.246,0.292,0.044,0.044,4.202,95.155,6.958,0.0014,0.069,0.000,6.404,3,2.44,2.44,17.50
2.46,3.843,0.275,0.0315,2.2,0.250,0.072,0.000,3.848,0.275,0.045,0.045,3.804,85.462,7.243,0.0083,0.072,0.000,6.517,3,2.46,2.46,17.50
2.48,3.547,0.252,0.0158,2.2,0.250,0.071,0.000,3.550,0.252,0.045,0.045,3.505,78.129,7.193,0.0045,0.071,0.000,6.381,3,2.48,2.48,17.50
2.50,3.352,0.243,0.0557,2.2,0.250,0.072,0.000,3.360,0.243,0.045,0.045,3.315,73.329,7.336,0.0168,0.073,0.000,6.530,3,2.50,2.50,17.50
2.52,3.228,0.232,0.0859,2.2,0.250,0.072,0.000,3.242,0.232,0.046,0.046,3.196,70.155,7.255,0.0269,0.072,0.000,6.496,3,2.52,2.52,17.50
2.54,3.181,0.221,0.1600,2.2,0.250,0.069,0.000,3.206,0.221,0.046,0.046,3.160,68.834,6.996,0.0506,0.070,0.000,6.380,3,2.54,2.54,17.50
2.56,3.219,0.221,0.1356,2.2,0.240,0.068,0.000,3.241,0.221,0.046,0.046,3.195,69.058,6.905,0.0424,0.069,0.000,6.486,3,2.56,2.56,17.50
2.58,3.288,0.223,0.2178,2.2,0.250,0.067,0.000,3.323,0.223,0.047,0.047,3.276,70.290,6.807,0.0665,0.068,0.000,6.618,3,2.58,2.58,17.50
2.60,3.337,0.224,0.3280,2.2,0.250,0.066,0.000,3.390,0.224,0.047,0.047,3.343,71.186,6.689,0.0981,0.067,0.000,6.656,3,2.60,2.60,17.50
2.62,3.415,0.220,0.2254,2.2,0.250,0.064,0.000,3.451,0.220,0.047,0.047,3.404,71.944,6.470,0.0662,0.064,0.000,6.538,3,2.62,2.62,17.50
2.64,3.466,0.223,0.1673,2.2,0.250,0.064,0.000,3.493,0.223,0.048,0.048,3.445,72.287,6.464,0.0486,0.064,0.000,6.564,3,2.64,2.64,17.50
2.66,3.535,0.229,0.1402,2.2,0.250,0.064,0.000,3.557,0.229,0.048,0.048,3.509,73.094,6.514,0.0400,0.065,0.000,6.685,3,2.66,2.66,17.50
2.68,3.498,0.238,0.0751,2.2,0.250,0.068,0.000,3.510,0.238,0.048,0.048,3.461,71.577,6.890,0.0217,0.068,0.000,6.945,3,2.68,2.68,17.50
2.70,3.436,0.251,0.0498,2.2,0.250,0.073,0.000,3.444,0.251,0.049,0.049,3.395,69.706,7.384,0.0147,0.073,0.000,7.282,3,2.70,2.70,17.50
2.72,3.443,0.264,0.0652,2.2,0.250,0.076,0.000,3.454,0.264,0.049,0.049,3.405,69.396,7.751,0.0192,0.077,0.000,7.682,3,2.72,2.72,17.50
2.74,3.503,0.269,0.0628,2.2,0.250,0.077,0.000,3.513,0.269,0.049,0.049,3.464,70.102,7.769,0.0181,0.077,0.000,7.876,3,2.74,2.74,17.50
2.76,3.475,0.270,0.0740,2.2,0.250,0.077,0.000,3.487,0.270,0.050,0.050,3.437,69.071,7.856,0.0215,0.078,0.000,7.950,3,2.76,2.76,17.50
2.78,3.380,0.278,0.0540,2.2,0.250,0.082,0.000,3.388,0.278,0.050,0.050,3.338,66.618,8.328,0.0162,0.082,0.000,8.234,3,2.78,2.78,17.50
2.80,3.380,0.278,0.0540,2.2,0.250,0.082,0.000,3.388,0.278,0.050,0.050,3.338,66.149,8.329,0.0162,0.082,0.000,8.270,3,2.80,2.80,17.50
2.82,3.258,0.269,0.0651,2.2,0.250,0.082,0.000,3.268,0.269,0.051,0.051,3.218,63.326,8.376,0.0202,0.083,0.000,8.065,3,2.82,2.82,17.50
2.84,3.210,0.266,0.0956,2.2,0.250,0.082,0.000,3.226,0.266,0.051,0.051,3.175,62.051,8.363,0.0301,0.083,0.000,8.001,3,2.84,2.84,17.50
2.86,3.240,0.266,0.1169,2.2,0.250,0.082,0.000,3.259,0.266,0.052,0.052,3.208,62.271,8.287,0.0364,0.082,0.000,8.097,3,2.86,2.86,17.50
2.88,3.315,0.267,0.0950,2.2,0.250,0.080,0.000,3.330,0.267,0.052,0.052,3.278,63.206,8.152,0.0290,0.081,0.000,8.243,3,2.88,2.88,17.50
2.90,3.339,0.269,0.0631,2.2,0.250,0.080,0.000,3.349,0.269,0.052,0.052,3.297,63.149,8.147,0.0191,0.080,0.000,8.390,3,2.90,2.90,17.50
2.92,3.216,0.272,0.1037,2.2,0.200,0.084,0.000,3.232,0.272,0.053,0.053,3.180,60.497,8.542,0.0326,0.084,0.000,8.591,3,2.92,2.92,17.50
