H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.00,0.174,0.000,0.0005,3.1,0.000,0.000,0.000,0.174,0.000,0.000,0.000,0.174,17378.000,0.000,0.0029,0.000,0.000,0.000,7,0.00,0.00,17.50
0.02,0.822,0.000,0.0172,2.6,0.210,0.000,0.000,0.824,0.000,0.000,0.000,0.824,2354.292,0.012,0.0209,0.000,0.000,0.000,7,0.02,0.02,17.50
0.04,1.730,0.000,0.0172,2.3,0.280,0.000,0.000,1.732,0.000,0.001,0.001,1.732,2404.906,0.006,0.0099,0.000,0.000,0.000,7,0.04,0.04,18.50
0.06,2.245,0.000,0.0512,2.3,0.140,0.000,0.000,2.253,0.000,0.001,0.001,2.252,2066.332,0.004,0.0227,0.000,0.000,0.000,7,0.06,0.06,18.50
0.08,3.489,0.000,0.0005,2.3,0.010,0.000,0.000,3.489,0.000,0.001,0.001,3.488,2372.524,0.003,0.0001,0.000,0.000,0.000,7,0.08,0.08,19.00
0.10,3.489,0.001,0.0023,2.3,0.380,0.000,0.000,3.489,0.001,0.002,0.002,3.488,1885.145,0.014,0.0007,0.000,0.000,0.018,7,0.10,0.10,19.00
0.12,4.304,0.001,0.0023,2.2,0.430,0.000,0.000,4.304,0.001,0.002,0.002,4.302,1928.986,0.012,0.0005,0.000,0.000,0.017,7,0.12,0.12,19.00
0.14,4.304,0.022,0.0254,2.2,0.440,0.005,0.000,4.308,0.022,0.003,0.003,4.305,1649.408,0.499,0.0059,0.005,0.000,0.705,3,0.14,0.14,19.00
0.16,3.817,0.034,-0.0131,2.2,0.320,0.009,0.000,3.815,0.034,0.003,0.003,3.812,1279.135,0.902,-0.0034,0.009,0.000,1.134,3,0.16,0.16,18.50
0.18,2.928,0.053,-0.0084,2.2,0.110,0.018,0.000,2.927,0.053,0.003,0.003,2.924,875.364,1.823,-0.0029,0.018,0.000,1.796,3,0.18,0.18,18.00
0.20,2.833,0.065,-0.0148,2.2,0.220,0.023,0.000,2.831,0.065,0.004,0.004,2.827,764.090,2.306,-0.0052,0.023,0.000,2.355,3,0.20,0.20,18.00
0.22,2.431,0.082,-0.0231,2.1,0.310,0.034,0.000,2.428,0.082,0.004,0.004,2.423,596.907,3.384,-0.0095,0.034,0.000,3.197,3,0.22,0.22,18.00
0.24,1.984,0.082,-0.0231,2.1,0.360,0.041,0.000,1.981,0.082,0.004,0.004,1.976,447.100,4.149,-0.0117,0.041,0.000,3.587,3,0.24,0.24,18.00
0.26,1.530,0.091,-0.0347,2.1,0.320,0.059,0.000,1.525,0.091,0.005,0.005,1.520,318.654,5.967,-0.0228,0.059,0.000,4.524,3,0.26,0.26,17.50
0.28,1.530,0.089,-0.0405,2.1,0.330,0.058,0.000,1.524,0.089,0.005,0.005,1.519,296.621,5.854,-0.0267,0.058,0.000,5.027,3,0.28,0.28,17.50
0.30,1.303,0.080,-0.0344,2.1,0.340,0.062,0.000,1.297,0.080,0.005,0.005,1.292,236.184,6.216,-0.0266,0.062,0.000,4.988,3,0.30,0.30,17.50
0.32,1.250,0.080,-0.0344,2.1,0.330,0.065,0.000,1.244,0.080,0.006,0.006,1.239,212.831,6.483,-0.0278,0.064,0.000,5.515,3,0.32,0.32,17.50
0.34,1.233,0.065,-0.0271,2.1,0.320,0.053,0.000,1.229,0.065,0.006,0.006,1.223,198.168,5.283,-0.0222,0.052,0.000,4.830,3,0.34,0.34,17.50
0.36,1.215,0.052,-0.0228,2.2,0.290,0.043,0.000,1.211,0.052,0.007,0.007,1.205,184.744,4.325,-0.0189,0.043,0.000,4.130,4,0.36,0.36,17.50
0.38,1.215,0.042,-0.0167,2.2,0.270,0.035,0.000,1.212,0.042,0.007,0.007,1.205,175.167,3.518,-0.0139,0.035,0.000,3.442,4,0.38,0.38,18.00
0.40,1.184,0.037,-0.0162,2.1,0.240,0.031,0.000,1.181,0.037,0.007,0.007,1.174,162.164,3.126,-0.0138,0.031,0.000,3.008,4,0.40,0.40,18.00
0.42,1.140,0.035,-0.0171,2.2,0.230,0.031,0.000,1.137,0.035,0.008,0.008,1.129,148.614,3.099,-0.0151,0.031,0.000,2.799,4,0.42,0.42,18.00
0.44,1.127,0.036,-0.0234,2.2,0.220,0.032,0.000,1.123,0.036,0.008,0.008,1.115,140.062,3.220,-0.0210,0.032,0.000,2.774,4,0.44,0.44,18.00
0.46,1.150,0.039,-0.0238,2.2,0.210,0.034,0.000,1.146,0.039,0.008,0.008,1.137,136.703,3.464,-0.0209,0.034,0.000,2.893,4,0.46,0.46,18.00
0.48,1.205,0.046,-0.0090,2.2,0.170,0.039,0.000,1.204,0.046,0.009,0.009,1.195,137.819,3.883,-0.0075,0.039,0.000,3.170,4,0.48,0.48,17.50
0.50,1.402,0.050,0.0118,2.2,0.110,0.036,0.000,1.403,0.050,0.009,0.009,1.394,154.425,3.578,0.0085,0.036,0.000,3.109,4,0.50,0.50,18.00
0.52,1.634,0.051,0.0175,2.2,0.100,0.031,0.000,1.637,0.051,0.009,0.009,1.628,173.345,3.146,0.0108,0.031,0.000,2.885,4,0.52,0.52,18.00
0.54,1.733,0.059,-0.0207,2.2,0.110,0.034,0.000,1.730,0.059,0.010,0.010,1.720,176.404,3.407,-0.0120,0.034,0.000,2.968,4,0.54,0.54,18.00
0.56,1.975,0.065,0.0021,2.2,0.140,0.033,0.000,1.976,0.065,0.010,0.010,1.966,194.424,3.332,0.0011,0.033,0.000,2.990,4,0.56,0.56,18.00
0.58,2.338,0.065,0.0158,2.2,0.140,0.028,0.000,2.340,0.065,0.010,0.010,2.330,222.517,2.777,0.0068,0.028,0.000,2.685,4,0.58,0.58,18.00
0.60,2.766,0.066,0.0035,2.2,0.120,0.024,0.000,2.767,0.066,0.011,0.011,2.756,254.472,2.406,0.0013,0.024,0.000,2.522,4,0.60,0.60,18.00
0.62,3.052,0.074,-0.0018,2.2,0.100,0.024,0.000,3.052,0.074,0.011,0.011,3.040,271.700,2.441,-0.0006,0.024,0.000,2.621,3,0.62,0.62,18.00
0.64,3.337,0.081,-0.0154,2.2,0.080,0.024,0.000,3.335,0.081,0.012,0.012,3.323,287.739,2.449,-0.0046,0.024,0.000,2.715,3,0.64,0.64,18.00
0.66,3.505,0.100,-0.0183,2.3,0.140,0.029,0.000,3.502,0.100,0.012,0.012,3.490,293.036,2.874,-0.0052,0.029,0.000,3.170,3,0.66,0.66,18.00
0.68,3.563,0.114,-0.0292,2.3,0.120,0.032,0.000,3.558,0.114,0.012,0.012,3.546,289.002,3.204,-0.0082,0.032,0.000,3.441,3,0.68,0.68,18.00
0.70,3.609,0.129,-0.0261,2.3,0.170,0.036,0.000,3.605,0.129,0.013,0.013,3.592,284.410,3.580,-0.0073,0.036,0.000,3.768,3,0.70,0.70,18.00
0.72,3.634,0.145,-0.0208,2.3,0.140,0.040,0.000,3.630,0.145,0.013,0.013,3.617,278.467,4.003,-0.0058,0.040,0.000,4.168,3,0.72,0.72,18.00
0.74,3.470,0.158,-0.0191,2.3,0.110,0.046,0.000,3.467,0.158,0.013,0.013,3.453,258.666,4.570,-0.0055,0.045,0.000,4.497,3,0.74,0.74,18.00
0.76,3.559,0.173,-0.0258,2.4,0.130,0.049,0.000,3.555,0.173,0.014,0.014,3.542,258.516,4.890,-0.0073,0.049,0.000,4.915,3,0.76,0.76,17.50
0.78,3.484,0.179,-0.0236,2.4,0.110,0.051,0.000,3.480,0.179,0.014,0.014,3.466,246.681,5.156,-0.0068,0.051,0.000,5.069,3,0.78,0.78,17.50
0.80,3.567,0.190,-0.0213,2.4,0.160,0.053,0.000,3.563,0.190,0.014,0.014,3.549,246.444,5.351,-0.0060,0.053,0.000,5.401,3,0.80,0.80,17.50
0.82,3.434,0.192,-0.0223,2.3,0.140,0.056,0.000,3.431,0.192,0.015,0.015,3.416,231.592,5.629,-0.0065,0.056,0.000,5.477,3,0.82,0.82,17.50
0.84,3.434,0.192,-0.0223,2.3,0.240,0.056,0.000,3.431,0.192,0.015,0.015,3.416,226.201,5.630,-0.0065,0.056,0.000,5.465,3,0.84,0.84,17.50
0.86,3.503,0.198,-0.0284,2.3,0.240,0.057,0.000,3.499,0.198,0.015,0.015,3.483,225.444,5.687,-0.0082,0.057,0.000,5.573,3,0.86,0.86,17.50
0.88,3.519,0.197,-0.0313,2.3,0.230,0.056,0.000,3.514,0.197,0.016,0.016,3.498,221.405,5.634,-0.0089,0.056,0.000,5.483,3,0.88,0.88,17.50
0.90,3.463,0.199,-0.0313,2.3,0.240,0.058,0.000,3.457,0.199,0.016,0.016,3.441,213.086,5.780,-0.0091,0.057,0.000,5.440,3,0.90,0.90,17.50
0.92,3.556,0.198,-0.0310,2.3,0.230,0.056,0.000,3.551,0.198,0.016,0.016,3.535,214.215,5.588,-0.0088,0.056,0.000,5.344,3,0.92,0.92,17.50
0.94,3.720,0.201,-0.0274,2.2,0.210,0.054,0.000,3.716,0.201,0.017,0.017,3.699,219.505,5.440,-0.0074,0.054,0.000,5.393,3,0.94,0.94,17.50
0.96,3.863,0.203,-0.0271,2.2,0.190,0.053,0.000,3.858,0.203,0.017,0.017,3.841,223.323,5.277,-0.0071,0.052,0.000,5.397,3,0.96,0.96,17.50
0.98,4.000,0.203,-0.0258,2.2,0.190,0.051,0.000,3.996,0.203,0.018,0.018,3.979,226.702,5.090,-0.0065,0.051,0.000,5.328,3,0.98,0.98,17.50
