H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.00,0.208,0.000,-0.0001,1.8,0.000,0.000,0.000,0.208,0.000,0.000,0.000,0.208,20798.400,0.000,-0.0005,0.000,0.000,0.000,1,0.00,0.00,17.50
0.02,0.421,0.000,0.0135,1.7,0.120,0.000,0.000,0.424,0.000,0.000,0.000,0.423,1209.172,0.024,0.0319,0.000,0.000,0.000,1,0.02,0.02,17.50
0.04,0.493,0.000,0.0113,1.7,0.120,0.000,0.000,0.495,0.000,0.001,0.001,0.494,705.583,0.020,0.0229,0.000,0.000,0.000,1,0.04,0.04,17.50
0.06,0.661,0.000,0.0102,1.8,0.130,0.000,0.000,0.663,0.000,0.001,0.001,0.662,630.173,0.015,0.0154,0.000,0.000,0.000,1,0.06,0.06,17.50
0.08,0.857,0.000,0.0027,1.8,0.230,0.000,0.000,0.857,0.000,0.001,0.001,0.856,611.309,0.012,0.0032,0.000,0.000,0.000,1,0.08,0.08,17.50
0.10,1.075,0.000,0.0001,1.9,0.240,0.000,0.000,1.075,0.000,0.002,0.002,1.074,610.032,0.009,0.0001,0.000,0.000,0.012,1,0.10,0.10,18.00
0.12,1.217,0.000,0.0005,1.8,0.200,0.000,0.000,1.217,0.000,0.002,0.002,1.214,572.859,0.008,0.0004,0.000,0.000,0.011,1,0.12,0.12,18.00
0.14,1.141,0.000,-0.0027,1.8,0.170,0.000,0.000,1.140,0.000,0.002,0.002,1.138,458.785,0.009,-0.0024,0.000,0.000,0.010,1,0.14,0.14,18.00
0.16,1.188,0.001,-0.0166,1.8,0.230,0.001,0.000,1.186,0.001,0.003,0.003,1.183,416.480,0.085,-0.0140,0.001,0.000,0.094,5,0.16,0.16,18.00
0.18,1.162,0.007,-0.0158,1.8,0.300,0.006,0.000,1.159,0.007,0.003,0.003,1.156,361.272,0.605,-0.0137,0.006,0.000,0.631,5,0.18,0.18,18.00
