H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.00,0.308,0.000,-0.0000,0.5,0.000,0.000,0.000,0.308,0.000,0.000,0.000,0.308,30760.000,0.033,-0.0000,0.000,0.000,0.000,6,0.00,0.00,17.50
0.02,0.877,0.000,0.0149,0.5,0.160,0.000,0.000,0.879,0.000,0.000,0.000,0.879,2511.812,0.011,0.0169,0.000,0.000,0.000,6,0.02,0.02,17.50
0.04,0.964,0.000,0.0173,0.6,0.180,0.000,0.000,0.966,0.000,0.001,0.001,0.966,1379.383,0.010,0.0179,0.000,0.000,0.000,6,0.04,0.04,17.50
0.06,1.077,0.001,0.0351,0.6,0.210,0.001,0.000,1.083,0.001,0.001,0.001,1.082,1020.525,0.055,0.0324,0.001,0.000,0.000,6,0.06,0.06,18.00
0.08,0.917,0.001,0.0298,0.7,0.070,0.001,0.000,0.922,0.001,0.001,0.001,0.920,652.594,0.054,0.0324,0.001,0.000,0.000,6,0.08,0.08,17.50
0.10,0.850,0.006,0.0172,0.7,0.470,0.007,0.000,0.853,0.006,0.002,0.002,0.851,483.405,0.717,0.0202,0.007,0.000,0.472,6,0.10,0.10,17.50
0.12,1.634,0.006,0.0172,0.7,0.400,0.004,0.000,1.637,0.006,0.002,0.002,1.635,771.194,0.373,0.0105,0.004,0.000,0.415,6,0.12,0.12,18.00
0.14,1.809,0.023,0.0200,0.8,0.370,0.013,0.000,1.812,0.023,0.002,0.002,1.810,729.645,1.260,0.0111,0.013,0.000,1.429,6,0.14,0.14,18.00
0.16,1.809,0.040,0.0080,0.8,0.350,0.022,0.000,1.810,0.040,0.003,0.003,1.807,636.352,2.191,0.0044,0.022,0.000,2.287,6,0.16,0.16,18.00
0.18,1.915,0.059,0.0059,0.8,0.350,0.031,0.000,1.916,0.059,0.003,0.003,1.912,597.607,3.096,0.0031,0.031,0.000,3.184,3,0.18,0.18,18.00
0.20,2.064,0.059,0.0059,0.9,0.350,0.029,0.000,2.065,0.059,0.004,0.004,2.061,578.928,2.872,0.0029,0.029,0.000,2.954,3,0.20,0.20,18.00
0.22,2.258,0.076,0.0054,0.9,0.310,0.033,0.000,2.259,0.076,0.004,0.004,2.255,575.343,3.352,0.0024,0.033,0.000,3.485,3,0.22,0.22,18.00
0.24,2.258,0.094,-0.0037,0.9,0.300,0.042,0.000,2.258,0.094,0.004,0.004,2.254,526.525,4.185,-0.0016,0.042,0.000,4.167,3,0.24,0.24,18.00
0.26,2.456,0.105,0.0006,0.9,0.320,0.043,0.000,2.456,0.105,0.005,0.005,2.451,528.310,4.271,0.0002,0.043,0.000,4.463,3,0.26,0.26,18.00
0.28,2.484,0.120,0.0084,0.9,0.320,0.048,0.000,2.485,0.120,0.005,0.005,2.480,497.085,4.826,0.0034,0.048,0.000,4.921,3,0.28,0.28,17.50
0.30,2.510,0.120,0.0084,1.0,0.320,0.048,0.000,2.512,0.120,0.005,0.005,2.507,469.383,4.776,0.0034,0.048,0.000,4.779,3,0.30,0.30,17.50
0.32,2.666,0.125,-0.0024,1.1,0.320,0.047,0.000,2.665,0.125,0.006,0.006,2.660,467.421,4.711,-0.0009,0.047,0.000,4.907,3,0.32,0.32,17.50
0.34,2.666,0.131,-0.0212,1.1,0.320,0.049,0.000,2.662,0.131,0.006,0.006,2.656,439.779,4.920,-0.0080,0.049,0.000,5.067,3,0.34,0.34,17.50
0.36,2.722,0.135,-0.0212,1.1,0.330,0.050,0.000,2.719,0.135,0.006,0.006,2.712,424.463,4.985,-0.0078,0.050,0.000,5.189,3,0.36,0.36,17.50
0.38,2.756,0.135,-0.0212,1.1,0.320,0.049,0.000,2.752,0.135,0.007,0.007,2.745,407.339,4.924,-0.0077,0.049,0.000,5.167,3,0.38,0.38,17.50
0.40,2.710,0.138,-0.0236,1.0,0.290,0.051,0.000,2.706,0.138,0.007,0.007,2.699,380.654,5.124,-0.0087,0.051,0.000,5.266,3,0.40,0.40,17.50
0.42,2.602,0.141,-0.0288,1.1,0.250,0.054,0.000,2.598,0.141,0.007,0.007,2.590,348.139,5.428,-0.0111,0.054,0.000,5.340,3,0.42,0.42,17.50
0.44,2.546,0.137,-0.0325,1.1,0.220,0.054,0.000,2.541,0.137,0.008,0.008,2.533,325.136,5.393,-0.0128,0.054,0.000,5.200,3,0.44,0.44,17.50
0.46,2.542,0.139,-0.0361,1.1,0.290,0.055,0.000,2.537,0.139,0.008,0.008,2.528,310.612,5.513,-0.0143,0.055,0.000,5.302,3,0.46,0.46,17.50
0.48,2.579,0.134,-0.0382,1.0,0.290,0.052,0.000,2.573,0.134,0.008,0.008,2.565,302.085,5.213,-0.0149,0.052,0.000,5.085,3,0.48,0.48,17.50
0.50,2.588,0.136,-0.0410,1.1,0.290,0.053,0.000,2.582,0.136,0.009,0.009,2.573,291.029,5.271,-0.0159,0.052,0.000,5.164,3,0.50,0.50,17.50
0.52,2.588,0.137,-0.0422,1.1,0.300,0.053,0.000,2.581,0.137,0.009,0.009,2.572,279.887,5.318,-0.0164,0.053,0.000,5.207,3,0.52,0.52,17.50
0.54,2.597,0.138,-0.0406,1.1,0.290,0.053,0.000,2.590,0.138,0.010,0.010,2.581,270.531,5.355,-0.0157,0.053,0.000,5.237,3,0.54,0.54,17.50
0.56,2.689,0.142,-0.0390,1.1,0.290,0.053,0.000,2.682,0.142,0.010,0.010,2.672,270.219,5.313,-0.0146,0.053,0.000,5.345,3,0.56,0.56,17.50
0.58,2.724,0.142,-0.0390,1.1,0.290,0.052,0.000,2.718,0.142,0.010,0.010,2.707,264.387,5.245,-0.0144,0.052,0.000,5.308,3,0.58,0.58,17.50
0.60,2.720,0.153,-0.0362,1.1,0.210,0.056,0.000,2.715,0.153,0.011,0.011,2.704,255.327,5.655,-0.0134,0.056,0.000,5.673,3,0.60,0.60,17.50
0.62,2.724,0.153,-0.0347,1.1,0.180,0.056,0.000,2.718,0.153,0.011,0.011,2.707,247.469,5.633,-0.0128,0.056,0.000,5.612,3,0.62,0.62,17.50
