H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.64,2.733,0.154,-0.0331,1.1,0.140,0.057,0.000,2.727,0.154,0.011,0.011,2.716,240.577,5.674,-0.0122,0.056,0.000,5.618,3,0.64,0.64,17.50
0.66,2.741,0.159,-0.0313,1.1,0.160,0.058,0.000,2.736,0.159,0.012,0.012,2.725,234.094,5.835,-0.0115,0.058,0.000,5.741,3,0.66,0.66,17.50
0.68,2.747,0.175,-0.0272,1.2,0.160,0.064,0.000,2.742,0.175,0.012,0.012,2.730,227.728,6.395,-0.0100,0.064,0.000,6.263,3,0.68,0.68,17.50
0.70,2.794,0.184,-0.0276,1.1,0.220,0.066,0.000,2.790,0.184,0.012,0.012,2.778,225.093,6.621,-0.0099,0.066,0.000,6.562,3,0.70,0.70,17.50
0.72,2.837,0.188,-0.0251,1.2,0.250,0.066,0.000,2.833,0.188,0.013,0.013,2.820,222.222,6.656,-0.0089,0.066,0.000,6.656,3,0.72,0.72,17.50
0.74,2.867,0.194,-0.0222,1.1,0.250,0.068,0.000,2.863,0.194,0.013,0.013,2.850,218.559,6.807,-0.0078,0.068,0.000,6.829,3,0.74,0.74,17.50
0.76,2.888,0.205,-0.0211,1.2,0.250,0.071,0.000,2.884,0.205,0.013,0.013,2.871,214.416,7.137,-0.0073,0.071,0.000,7.148,3,0.76,0.76,17.50
0.78,2.890,0.219,-0.0205,1.1,0.280,0.076,0.000,2.886,0.219,0.014,0.014,2.873,209.067,7.613,-0.0071,0.076,0.000,7.596,3,0.78,0.78,17.50
0.80,2.888,0.222,-0.0209,1.2,0.280,0.077,0.000,2.884,0.222,0.014,0.014,2.870,203.717,7.734,-0.0073,0.077,0.000,7.720,3,0.80,0.80,17.50
0.82,2.914,0.218,-0.0203,1.1,0.240,0.075,0.000,2.911,0.218,0.014,0.014,2.897,200.590,7.540,-0.0070,0.075,0.000,7.652,3,0.82,0.82,17.50
0.84,2.953,0.220,-0.0175,1.2,0.230,0.075,0.000,2.950,0.220,0.015,0.015,2.935,198.473,7.488,-0.0060,0.074,0.000,7.792,3,0.84,0.84,17.50
0.86,3.015,0.223,-0.0169,1.2,0.260,0.074,0.000,3.012,0.223,0.015,0.015,2.997,197.943,7.451,-0.0056,0.074,0.000,8.027,3,0.86,0.86,17.50
0.88,2.879,0.220,-0.0166,1.1,0.260,0.076,0.000,2.876,0.220,0.015,0.015,2.861,184.690,7.676,-0.0058,0.076,0.000,8.020,3,0.88,0.88,17.50
0.90,2.708,0.220,-0.0188,1.1,0.260,0.081,0.000,2.705,0.220,0.016,0.016,2.689,169.770,8.196,-0.0070,0.081,0.000,8.205,3,0.90,0.90,17.50
0.92,2.560,0.219,-0.0225,1.1,0.260,0.086,0.000,2.556,0.219,0.016,0.016,2.540,156.894,8.618,-0.0089,0.086,0.000,8.325,3,0.92,0.92,17.50
0.94,2.467,0.221,-0.0253,1.1,0.260,0.090,0.000,2.463,0.221,0.017,0.017,2.447,147.927,9.041,-0.0103,0.090,0.000,8.600,3,0.94,0.94,17.50
0.96,2.440,0.219,-0.0330,1.2,0.260,0.090,0.000,2.435,0.219,0.017,0.017,2.418,143.152,9.062,-0.0136,0.090,0.000,8.686,3,0.96,0.96,17.50
0.98,2.407,0.216,-0.0359,1.2,0.260,0.090,0.000,2.401,0.216,0.017,0.017,2.384,138.255,9.075,-0.0151,0.090,0.000,8.734,3,0.98,0.98,17.50
1.00,2.319,0.210,-0.0344,1.2,0.260,0.091,0.000,2.314,0.210,0.018,0.018,2.296,130.535,9.128,-0.0150,0.090,0.000,8.515,3,1.00,1.00,17.50
1.02,2.262,0.201,-0.0338,1.1,0.260,0.089,0.000,2.256,0.201,0.018,0.018,2.239,124.780,8.979,-0.0151,0.089,0.000,8.118,3,1.02,1.02,17.50
1.04,2.284,0.201,-0.0338,1.2,0.260,0.088,0.000,2.279,0.201,0.018,0.018,2.260,123.581,8.893,-0.0150,0.088,0.000,8.027,3,1.04,1.04,17.50
1.06,2.407,0.191,-0.0335,1.2,0.260,0.080,0.000,2.402,0.191,0.019,0.019,2.383,127.865,8.022,-0.0141,0.079,0.000,7.526,3,1.06,1.06,17.50
1.08,2.509,0.182,-0.0322,1.2,0.260,0.073,0.000,2.504,0.182,0.019,0.019,2.485,130.840,7.329,-0.0130,0.073,0.000,7.045,3,1.08,1.08,17.50
1.10,2.715,0.167,-0.0302,1.2,0.260,0.062,0.000,2.710,0.167,0.019,0.019,2.691,139.133,6.214,-0.0112,0.062,0.000,6.344,3,1.10,1.10,17.50
1.12,2.867,0.159,-0.0279,1.2,0.260,0.056,0.000,2.862,0.159,0.020,0.020,2.842,144.360,5.604,-0.0098,0.056,0.000,5.908,3,1.12,1.12,17.50
1.14,2.867,0.156,-0.0280,1.2,0.260,0.054,0.000,2.862,0.156,0.020,0.020,2.842,141.820,5.485,-0.0099,0.054,0.000,5.650,3,1.14,1.14,17.50
1.16,2.868,0.166,-0.0266,1.2,0.260,0.058,0.000,2.864,0.166,0.020,0.020,2.844,139.468,5.820,-0.0094,0.058,0.000,5.869,3,1.16,1.16,17.50
1.18,2.927,0.179,-0.0258,1.2,0.260,0.061,0.000,2.922,0.179,0.021,0.021,2.902,139.910,6.158,-0.0089,0.061,0.000,6.240,3,1.18,1.18,17.50
1.20,2.967,0.193,-0.0259,1.3,0.260,0.065,0.000,2.963,0.193,0.021,0.021,2.942,139.491,6.574,-0.0088,0.065,0.000,6.672,3,1.20,1.20,17.50
1.22,2.988,0.212,-0.0254,1.3,0.260,0.071,0.000,2.984,0.212,0.021,0.021,2.963,138.190,7.139,-0.0086,0.071,0.000,7.272,3,1.22,1.22,17.50
1.24,2.955,0.231,-0.0240,1.2,0.260,0.078,0.000,2.951,0.231,0.022,0.022,2.929,134.427,7.883,-0.0082,0.078,0.000,7.945,3,1.24,1.24,17.50
1.26,2.950,0.237,-0.0239,1.3,0.260,0.080,0.000,2.946,0.237,0.022,0.022,2.924,132.048,8.103,-0.0082,0.080,0.000,8.129,3,1.26,1.26,17.50
1.28,2.891,0.238,-0.0235,1.3,0.260,0.082,0.000,2.888,0.238,0.022,0.022,2.865,127.392,8.311,-0.0082,0.082,0.000,8.125,3,1.28,1.28,17.50
1.30,2.891,0.237,-0.0245,1.3,0.260,0.082,0.000,2.887,0.237,0.023,0.023,2.865,125.418,8.288,-0.0086,0.082,0.000,8.041,3,1.30,1.30,17.50
1.32,2.823,0.239,-0.0242,1.3,0.260,0.085,0.000,2.819,0.239,0.023,0.023,2.796,120.549,8.549,-0.0087,0.085,0.000,8.048,3,1.32,1.32,17.50
1.34,2.840,0.245,-0.0237,1.2,0.260,0.086,0.000,2.836,0.245,0.024,0.024,2.813,119.493,8.714,-0.0084,0.086,0.000,8.226,3,1.34,1.34,17.50
1.36,2.955,0.247,-0.0242,1.2,0.260,0.084,0.000,2.951,0.247,0.024,0.024,2.927,122.521,8.452,-0.0083,0.084,0.000,8.270,3,1.36,1.36,17.50
1.38,3.048,0.237,-0.0229,1.2,0.270,0.078,0.000,3.045,0.237,0.024,0.024,3.020,124.600,7.834,-0.0076,0.078,0.000,7.880,3,1.38,1.38,17.50
1.40,3.168,0.222,-0.0222,1.2,0.270,0.070,0.000,3.165,0.222,0.025,0.025,3.140,127.692,7.083,-0.0071,0.070,0.000,7.371,3,1.40,1.40,17.50
1.42,3.158,0.214,-0.0205,1.3,0.270,0.068,0.000,3.154,0.214,0.025,0.025,3.129,125.472,6.851,-0.0066,0.068,0.000,7.051,3,1.42,1.42,17.50
1.44,3.096,0.214,-0.0215,1.2,0.260,0.069,0.000,3.092,0.214,0.025,0.025,3.067,121.276,6.974,-0.0070,0.069,0.000,6.933,3,1.44,1.44,17.50
1.46,3.089,0.211,-0.0224,1.3,0.260,0.068,0.000,3.085,0.211,0.026,0.026,3.060,119.328,6.890,-0.0073,0.068,0.000,6.738,3,1.46,1.46,17.50
1.48,3.069,0.209,-0.0236,1.3,0.260,0.068,0.000,3.066,0.209,0.026,0.026,3.040,116.954,6.889,-0.0078,0.068,0.000,6.829,3,1.48,1.48,17.50
1.50,3.053,0.227,-0.0229,1.3,0.260,0.074,0.000,3.050,0.227,0.026,0.026,3.023,114.787,7.511,-0.0076,0.074,0.000,7.338,3,1.50,1.50,17.50
1.52,3.147,0.227,-0.0229,1.2,0.280,0.072,0.000,3.143,0.227,0.027,0.027,3.117,116.772,7.287,-0.0073,0.072,0.000,7.295,3,1.52,1.52,17.50
1.54,3.315,0.261,-0.0223,1.3,0.380,0.079,0.000,3.311,0.261,0.027,0.027,3.284,121.446,7.933,-0.0068,0.079,0.000,8.289,3,1.54,1.54,17.50
1.56,3.315,0.277,-0.0217,1.3,0.380,0.084,0.000,3.311,0.277,0.027,0.027,3.284,119.884,8.436,-0.0066,0.084,0.000,8.694,3,1.56,1.56,17.50
1.58,2.271,0.102,-0.0107,1.3,0.000,0.045,0.000,2.269,0.102,0.028,0.028,2.241,80.798,4.551,-0.0048,0.045,0.000,3.152,3,1.58,1.58,17.50
1.60,3.366,0.267,-0.0110,1.3,0.300,0.079,0.000,3.364,0.267,0.028,0.028,3.336,118.752,8.010,-0.0033,0.079,0.000,8.159,3,1.60,1.60,17.50
1.62,3.366,0.273,-0.0126,1.3,0.300,0.081,0.000,3.364,0.273,0.028,0.028,3.335,117.269,8.186,-0.0038,0.081,0.000,8.234,3,1.62,1.62,17.50
1.64,3.484,0.271,-0.0118,1.2,0.310,0.078,0.000,3.482,0.271,0.029,0.029,3.453,119.938,7.854,-0.0034,0.078,0.000,8.086,3,1.64,1.64,17.50
1.66,3.575,0.276,-0.0097,1.2,0.310,0.077,0.000,3.574,0.276,0.029,0.029,3.545,121.644,7.792,-0.0027,0.077,0.000,8.143,3,1.66,1.66,17.50
1.68,3.634,0.276,-0.0097,1.2,0.310,0.076,0.000,3.632,0.276,0.029,0.029,3.603,122.162,7.667,-0.0027,0.076,0.000,8.085,3,1.68,1.68,17.50
1.70,3.500,0.292,-0.0106,1.2,0.310,0.084,0.000,3.498,0.292,0.030,0.030,3.468,116.222,8.434,-0.0031,0.084,0.000,8.283,3,1.70,1.70,17.50
1.72,3.500,0.297,-0.0095,1.2,0.320,0.085,0.000,3.498,0.297,0.030,0.030,3.468,114.869,8.564,-0.0027,0.085,0.000,8.375,3,1.72,1.72,17.50
1.74,3.570,0.298,-0.0112,1.2,0.320,0.083,0.000,3.568,0.298,0.031,0.031,3.538,115.840,8.421,-0.0032,0.083,0.000,8.382,3,1.74,1.74,17.50
1.76,3.732,0.288,-0.0099,1.2,0.320,0.077,0.000,3.731,0.288,0.031,0.031,3.700,119.774,7.773,-0.0027,0.077,0.000,8.063,3,1.76,1.76,17.50
1.78,3.584,0.288,-0.0099,1.2,0.320,0.080,0.000,3.583,0.288,0.031,0.031,3.551,113.680,8.098,-0.0028,0.080,0.000,8.019,3,1.78,1.78,17.50
1.80,3.533,0.278,-0.0083,1.3,0.320,0.079,0.000,3.532,0.278,0.032,0.032,3.500,110.800,7.931,-0.0024,0.079,0.000,7.709,3,1.80,1.80,17.50
1.82,3.533,0.279,-0.0122,1.3,0.320,0.079,0.000,3.531,0.279,0.032,0.032,3.499,109.556,7.982,-0.0035,0.079,0.000,7.698,3,1.82,1.82,17.50
1.84,3.452,0.285,-0.0104,1.3,0.330,0.083,0.000,3.450,0.285,0.032,0.032,3.418,105.855,8.347,-0.0030,0.083,0.000,7.856,3,1.84,1.84,17.50
1.86,3.623,0.285,-0.0104,1.3,0.310,0.079,0.000,3.621,0.285,0.033,0.033,3.589,109.948,7.950,-0.0029,0.079,0.000,7.854,3,1.86,1.86,17.50
1.88,3.789,0.282,-0.0093,1.4,0.320,0.075,0.000,3.787,0.282,0.033,0.033,3.754,113.799,7.520,-0.0025,0.075,0.000,7.828,3,1.88,1.88,17.50
1.90,3.797,0.286,-0.0077,1.5,0.320,0.075,0.000,3.796,0.286,0.033,0.033,3.763,112.865,7.590,-0.0020,0.075,0.000,7.948,3,1.90,1.90,17.50
1.92,3.797,0.282,-0.0069,1.5,0.320,0.074,0.000,3.796,0.282,0.034,0.034,3.763,111.686,7.492,-0.0018,0.074,0.000,7.877,3,1.92,1.92,17.50
1.94,3.537,0.267,-0.0056,1.5,0.320,0.075,0.000,3.536,0.267,0.034,0.034,3.502,102.869,7.619,-0.0016,0.075,0.000,7.487,3,1.94,1.94,17.50
1.96,3.582,0.267,-0.0056,1.4,0.350,0.074,0.000,3.582,0.267,0.034,0.034,3.547,103.144,7.522,-0.0016,0.074,0.000,7.503,3,1.96,1.96,17.50
1.98,3.441,0.253,-0.0068,1.4,0.340,0.074,0.000,3.440,0.253,0.035,0.035,3.406,98.030,7.426,-0.0020,0.073,0.000,7.150,3,1.98,1.98,17.50
2.00,3.441,0.246,-0.0095,1.4,0.370,0.071,0.000,3.440,0.246,0.035,0.035,3.405,97.030,7.222,-0.0028,0.071,0.000,6.983,3,2.00,2.00,17.50
2.02,3.373,0.246,-0.0095,1.4,0.380,0.073,0.000,3.371,0.246,0.035,0.035,3.336,94.121,7.372,-0.0028,0.073,0.000,6.969,3,2.02,2.02,17.50
2.04,3.367,0.262,-0.0127,1.5,0.340,0.078,0.000,3.365,0.262,0.036,0.036,3.329,93.028,7.857,-0.0038,0.078,0.000,7.392,3,2.04,2.04,17.50
2.06,3.367,0.264,-0.0128,1.5,0.340,0.078,0.000,3.365,0.264,0.036,0.036,3.329,92.117,7.918,-0.0038,0.078,0.000,7.365,3,2.06,2.06,17.50
2.08,3.415,0.263,-0.0111,1.5,0.340,0.077,0.000,3.413,0.263,0.036,0.036,3.377,92.536,7.783,-0.0033,0.077,0.000,7.270,3,2.08,2.08,17.50
2.10,3.616,0.263,-0.0111,1.5,0.330,0.073,0.000,3.614,0.263,0.037,0.037,3.577,97.103,7.346,-0.0031,0.073,0.000,7.164,3,2.10,2.10,17.50
2.12,3.879,0.266,-0.0119,1.5,0.290,0.069,0.000,3.877,0.266,0.037,0.037,3.840,103.240,6.928,-0.0031,0.069,0.000,7.183,3,2.12,2.12,17.50
2.14,3.910,0.273,-0.0126,1.6,0.300,0.070,0.000,3.908,0.273,0.038,0.038,3.871,103.110,7.061,-0.0033,0.070,0.000,7.352,3,2.14,2.14,17.50
2.16,3.977,0.276,-0.0092,1.6,0.310,0.069,0.000,3.976,0.276,0.038,0.038,3.938,103.931,7.004,-0.0023,0.069,0.000,7.396,3,2.16,2.16,17.50
2.18,3.977,0.283,-0.0091,1.6,0.290,0.071,0.000,3.976,0.283,0.038,0.038,3.938,102.971,7.185,-0.0023,0.071,0.000,7.557,3,2.18,2.18,17.50
2.20,4.029,0.305,-0.0105,1.6,0.280,0.076,0.000,4.027,0.305,0.039,0.039,3.988,103.349,7.640,-0.0026,0.076,0.000,8.117,3,2.20,2.20,17.50
2.22,3.828,0.321,-0.0100,1.5,0.280,0.084,0.000,3.826,0.321,0.039,0.039,3.787,97.251,8.482,-0.0026,0.084,0.000,8.561,3,2.22,2.22,17.50
2.24,3.524,0.315,-0.0079,1.5,0.280,0.089,0.000,3.523,0.315,0.039,0.039,3.484,88.665,9.045,-0.0023,0.089,0.000,8.431,3,2.24,2.24,17.50
2.26,3.500,0.315,-0.0079,1.5,0.290,0.090,0.000,3.498,0.315,0.040,0.040,3.459,87.253,9.110,-0.0023,0.090,0.000,8.433,3,2.26,2.26,17.50
2.28,3.526,0.319,-0.0079,1.5,0.320,0.091,0.000,3.525,0.319,0.040,0.040,3.485,87.140,9.154,-0.0023,0.090,0.000,8.553,3,2.28,2.28,17.50
2.30,3.526,0.320,-0.0049,1.5,0.350,0.091,0.000,3.525,0.320,0.040,0.040,3.485,86.388,9.183,-0.0014,0.091,0.000,8.551,3,2.30,2.30,17.50
2.32,3.595,0.283,0.0006,1.6,0.360,0.079,0.000,3.595,0.283,0.041,0.041,3.554,87.348,7.971,0.0002,0.079,0.000,7.554,3,2.32,2.32,17.50
2.34,3.720,0.283,0.0006,1.6,0.370,0.076,0.000,3.720,0.283,0.041,0.041,3.679,89.643,7.701,0.0002,0.076,0.000,7.479,3,2.34,2.34,17.50
2.36,3.901,0.257,0.0098,1.7,0.390,0.066,0.000,3.903,0.257,0.041,0.041,3.862,93.300,6.653,0.0025,0.066,0.000,6.668,3,2.36,2.36,17.50
2.38,3.901,0.237,0.0065,1.7,0.430,0.061,0.000,3.903,0.237,0.042,0.042,3.861,92.496,6.144,0.0017,0.061,0.000,6.060,3,2.38,2.38,17.50
2.40,4.117,0.237,0.0065,1.7,0.450,0.058,0.000,4.118,0.237,0.042,0.042,4.076,96.829,5.820,0.0016,0.058,0.000,5.970,3,2.40,2.40,17.50
2.42,4.117,0.266,0.0067,1.7,0.450,0.065,0.000,4.118,0.266,0.042,0.042,4.075,96.023,6.525,0.0016,0.065,0.000,6.671,3,2.42,2.42,17.50
2.44,4.238,0.266,0.0067,1.7,0.450,0.063,0.000,4.239,0.266,0.043,0.043,4.197,98.074,6.336,0.0016,0.063,0.000,6.660,3,2.44,2.44,17.50
2.46,4.238,0.286,0.0185,1.7,0.470,0.067,0.000,4.241,0.286,0.043,0.043,4.198,97.314,6.808,0.0044,0.067,0.000,7.271,3,2.46,2.46,17.50
2.48,4.177,0.286,0.0185,1.7,0.480,0.068,0.000,4.180,0.286,0.043,0.043,4.136,95.104,6.910,0.0045,0.068,0.000,7.419,3,2.48,2.48,17.50
2.50,4.177,0.290,0.0202,1.7,0.480,0.069,0.000,4.180,0.290,0.044,0.044,4.136,94.343,7.021,0.0049,0.070,0.000,7.701,3,2.50,2.50,17.50
2.52,3.667,0.290,0.0202,1.7,0.520,0.079,0.000,3.670,0.290,0.044,0.044,3.626,82.058,8.009,0.0056,0.079,0.000,7.913,3,2.52,2.52,17.50
2.54,3.667,0.287,0.0164,1.7,0.570,0.078,0.000,3.670,0.287,0.045,0.045,3.625,81.392,7.903,0.0045,0.078,0.000,8.028,3,2.54,2.54,17.50
2.56,3.038,0.287,0.0164,1.8,0.580,0.094,0.000,3.040,0.287,0.045,0.045,2.995,66.728,9.565,0.0055,0.094,0.000,8.014,3,2.56,2.56,17.50
2.58,3.038,0.253,0.0273,1.8,0.600,0.083,0.000,3.042,0.253,0.045,0.045,2.997,66.243,8.456,0.0091,0.083,0.000,7.076,3,2.58,2.58,17.50
2.60,3.006,0.253,0.0273,1.9,0.630,0.084,0.000,3.010,0.253,0.046,0.046,2.965,65.029,8.547,0.0092,0.084,0.000,7.167,3,2.60,2.60,17.50
2.62,3.006,0.187,0.0381,1.9,0.610,0.062,0.000,3.012,0.187,0.046,0.046,2.966,64.564,6.315,0.0128,0.062,0.000,5.366,3,2.62,2.62,17.50
2.64,3.006,0.187,0.0381,1.9,0.610,0.062,0.000,3.012,0.187,0.046,0.046,2.966,64.068,6.316,0.0128,0.062,0.000,5.468,3,2.64,2.64,17.50
2.66,4.307,0.187,0.0381,1.7,0.540,0.043,0.000,4.313,0.187,0.047,0.047,4.266,91.457,4.390,0.0089,0.043,0.000,5.574,3,2.66,2.66,18.00
2.68,4.307,0.156,0.0516,1.7,0.510,0.036,0.000,4.315,0.156,0.047,0.047,4.268,90.794,3.646,0.0121,0.036,0.000,4.688,3,2.68,2.68,18.00
2.70,3.676,0.156,0.0516,1.7,0.530,0.042,0.000,3.684,0.156,0.047,0.047,3.637,76.774,4.279,0.0142,0.042,0.000,4.781,3,2.70,2.70,18.00
2.72,3.676,0.165,0.0394,1.7,0.530,0.045,0.000,3.682,0.165,0.048,0.048,3.634,76.147,4.540,0.0108,0.045,0.000,5.147,3,2.72,2.72,18.00
2.74,2.953,0.165,0.0394,1.7,0.520,0.056,0.000,2.959,0.165,0.048,0.048,2.911,60.550,5.668,0.0135,0.056,0.000,5.203,3,2.74,2.74,17.50
2.76,2.953,0.176,0.0518,1.7,0.490,0.059,0.000,2.961,0.176,0.048,0.048,2.913,60.146,6.046,0.0178,0.060,0.000,5.594,3,2.76,2.76,17.50
2.78,2.586,0.176,0.0518,1.7,0.470,0.068,0.000,2.595,0.176,0.049,0.049,2.546,52.190,6.917,0.0203,0.068,0.000,5.857,3,2.78,2.78,17.50
2.80,2.327,0.169,0.0468,1.7,0.320,0.072,0.000,2.335,0.169,0.049,0.049,2.286,46.521,7.394,0.0205,0.073,0.000,5.909,3,2.80,2.80,17.50
2.82,2.468,0.169,0.1836,1.7,0.230,0.068,0.000,2.498,0.169,0.049,0.049,2.448,49.476,6.911,0.0750,0.069,0.000,6.141,3,2.82,2.82,17.50
2.84,2.622,0.164,0.2155,1.7,0.240,0.062,0.000,2.656,0.164,0.050,0.050,2.606,52.303,6.285,0.0827,0.062,0.000,6.181,3,2.84,2.84,17.50
2.86,2.754,0.154,0.2929,1.7,0.280,0.055,0.000,2.801,0.154,0.050,0.050,2.750,54.812,5.584,0.1065,0.056,0.000,5.868,3,2.86,2.86,17.50
2.88,2.754,0.146,0.3132,1.7,0.320,0.052,0.000,2.804,0.146,0.051,0.051,2.753,54.490,5.292,0.1138,0.053,0.000,5.637,3,2.88,2.88,17.50
2.90,2.694,0.140,0.2914,1.7,0.440,0.051,0.000,2.741,0.140,0.051,0.051,2.690,52.863,5.209,0.1083,0.052,0.000,5.416,3,2.90,2.90,17.50
